Gene.symbol	HCC001	HCC002	HCC003	HCC004	HCC005	HCC006	HCC007	HCC008	HCC009	HCC010	HCC011	HCC012	HCC013	HCC014	HCC015	HCC016	HCC017	HCC018	HCC019	HCC020	HCC021	HCC022	HCC023	HCC024	HCC025	HCC026	HCC027	HCC028	HCC029	HCC030	HCC031	HCC032	HCC033	HCC034	HCC035	HCC036	HCC037	HCC038	HCC039	HCC040	HCC041	HCC042	HCC043	HCC044	HCC045	HCC046	HCC047	HCC048	HCC049	HCC050	HCC051	HCC052	HCC053	HCC054	HCC055	HCC056	HCC057	HCC058	HCC059	HCC060	HCC061	HCC062	HCC063	HCC064	HCC065	HCC066	HCC067	HCC068	HCC069	HCC070	HCC071	HCC072	HCC073	HCC074	HCC075	HCC076	HCC077	HCC078	HCC079	HCC080	HCC081	HCC082	HCC083	HCC084	HCC085	HCC086	HCC087	HCC088	HCC089	HCC090	HCC091	HCC092	HCC093	HCC094	HCC095	HCC096	HCC097	HCC098	HCC099	HCC100	HCC101	HCC102	HCC103	HCC104	HCC105	HCC106	HCC107	HCC108	HCC109	HCC110	HCC111	HCC112
FLNC-AS1	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLCH1-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERVW-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.086	0	0	0	0	3.737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL591242.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005062.1	2.356	0	0	0	0	0	0	0	0	0	0	0	0	1.944	0	0	0	0	2.829	0.687	1.631	0	0	0	0	0	0	0.42	1.389	0	0	0	0	0	0.65	0.156	0	0	0	0	0	0.108	0	0	0	0	0	0	0	0	0	0	0	0	0	5.78	0	0	0	0	0	0	1.481	0	0	0	0	0.338	0	0	0	0.226	0	4.935	0.217	0	0.214	1.373	0	4.763	0.252	0.236	0	0.465	6.207	0	2.536	0	0	1.403	0	0	0	0	4.993	0	0	0	0	0	0	0.395	0	0	0	0	0	2.766	0	0	0	0
AL359538.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005486.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GK-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.22	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF4EBP3	1.093	15.435	17.868	10.757	12.296	4.25	10.562	0	9.66	29.749	0	0	15.32	0	6.9	7.274	0	6.366	0	3.4	5.188	19.589	0	15.28	1.6	2.982	21.734	4.671	0.736	2.119	5.625	19.595	4.082	0	9.645	8.115	0	34.766	0.942	22.752	10.814	2.817	0	38.819	7.842	0	0	27.19	0.333	0	22.697	0	0	23.491	7.941	7.055	0	32.641	43.836	0	27.471	11.524	0	0	16.87	30.746	32.494	5.021	12.925	0	0	9.208	20.157	18.313	1.614	13.864	1.585	0	1.487	3.366	4.674	0	5.856	5.174	0	6.295	2.566	18.177	9.119	3.719	30.743	19.902	2.202	9.821	0	0.705	14.167	15.152	0	39.319	3.863	0	0	4.516	25.514	3.566	37.039	0.789	22.643	1.638	26.298	27.519
AL359853.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF26-AS1	0	0.203	0	0	0.272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.41	0	0	0.101	0	0	0	0	0.082	0	1.261	0	0	0	0	0	0	0	0	0	0	0	0	0.34	0	0	0	1.427	0	1.746	1.759	0	2.579	0	0	0	0.682	0	1.143	0	0	0.787	0	0.231	0	0	0	0	0.659	0.181	0	0	0	2.669	0	0	0	0	0	0	0	0	0	0	0.091	0.529	0	0	0	0	0	0	0	0	0	0	0	0	0	0.362	0	0	0	0	1.37	0	0	0	0.497	0	0	0.921	0
