Gene.symbol	CRC01	CRC02	CRC03	CRC04	CRC05	CRC06	CRC07	CRC08	CRC09	CRC10	CRC11	CRC12	CRC13	CRC14	CRC15	CRC16	CRC17	CRC18	CRC19	CRC20	CRC21	CRC22	CRC23	CRC24	CRC25	CRC26	CRC27	CRC28	CRC29	CRC30	CRC31	CRC32	CRC33	CRC34	CRC35
ZBED6CL	0.132	1.603	0.153	0	0.441	0	0	3.432	7.385	0.445	0	17.848	0	3.341	0	0.403	0	0	0.455	0.087	0.089	0.752	0	7.19	3.335	4.012	13.973	0.149	2.099	2.338	1.891	1.556	4.241	0.476	0
QRFP	0	0	0	0	0	0	0	0	0	0	0	0	0	1.773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUPD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMIM15	20.875	39.335	11.719	9.63	4.995	12.283	8.627	19.194	39.675	31.374	3.651	78.831	30.864	31.971	30.961	24.521	17.844	16.284	17.812	38.718	14.065	44.4	35.865	41.695	15.889	66.446	58.883	83.62	59.671	14.441	13.92	10.426	2.279	24.637	24.077
OSTN	0	0	0	0	0	0	0	3.182	0	0	2.026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VWC2	0	0	0	0	0	0	0	0	0	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM221A	1.584	1.156	0.541	0.074	0.116	0.755	1.114	0.047	3.449	3.672	0.334	0	0	0.558	0	0.475	0.213	0.809	1.752	0	0.703	3.995	5.403	1.278	0.555	0	1.832	6.866	1.857	0	0.186	0.122	0	0.561	17.135
TMEM120B	5.179	0.445	1.751	1.766	2.116	3.91	2.416	5.811	1.282	2.47	3.995	1.419	1.488	2.494	3.463	4.835	2.222	1.314	2.525	0	3.289	4.734	0.097	0.992	1.692	2.188	3.388	2.952	3.947	1.691	2.462	1.188	2.858	2.973	9.382
FSIP2	0	0.821	0.134	0	0	0.25	0.061	2.293	0	0.009	0.686	0	0	0.156	0	0	0	0	0.113	0	0	0	1.797	0	0	0.043	0	0	0	0.073	0.295	0	0	0.238	0
RBM34	0	0	0	0	1.107	0	0.61	0	0.435	0	0	0	1.91	0	0	1.214	0	1.163	0.6	0	0	0.177	0	0	0	0	0	0	0	0	0	0.88	0	0	0
NOXA1	0	0	0	0.988	2.182	1.021	0	0.526	0.941	0	0	0	0	1.168	0	0.844	0.473	1.725	0	0	0	0	0	11.018	0.448	0	5.621	0	0	0	0	0	0	0	0
TMEM198	0.038	0	0	0	0.084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.107	0	0	0	0.13	0	0	0	0	0	0	0	0	0
BCL2L15	0	0	0	0.263	0.028	0.063	0	0	0	0	0	0	4.864	0	0	0	0	0.282	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0.474	0	1.81	0
FZD9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.112	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPRED3	0	0.053	0	0	0	0	0.607	0	0	0	0	0	0	0	0	0.564	0	0	0	0	0	1.694	0	0	0	0	0	0	0.525	0	0	0	0	0.952	0
